Serial Number,Credit Card Name,Credit Card Image,Flight Benefit
126,Kotak IndiGo 6E Rewards Credit Card,"https://static.wixstatic.com/media/2a565f_cbc0d575ffa640c9a5708350c102ece6~mv2.webp/v1/fill/w_67,h_107,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/kotak-6e-rewards.webp","Reward System: Customers can avail of 3 6E rewards for every INR 100 spent on IndiGo. Effective cashback rate: 3% (IndiGo spends), 2% (Dining, Grocery, and Entertainment spend), and 1% (For other spends); 150 per pax on indigo tickets, and customers can even enjoy 6E Prime add-ons worth Rs"
127,Indian Navy VARUNAH Premium,https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2F01df1qhl%2Fnavy-varunah-card-design-01.png&w=640&q=75,"5X i.e. 15 reward points on travel, online, dining, and international spending. ( Effective cashback rate: 3.75%). (Maximum 2500 reward points per month).
"
129,SBI Card MILES,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/MILES_139x218-px-front.png,"1 travel credit per INR 200 on other spends. 1 travel credit = INR 1 for air mile/hotel point. (General cashback rate: 0.50%.
"
131,ETERNA Credit card,"https://static.wixstatic.com/media/2a565f_ae50c76fdd554a4995d68452135434d1~mv2.webp/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/bob-eterna-credit-card-review-1024x682.webp","Customers can earn 15 reward points for every INR 100 spent on travel, international transactions, dining, and online shopping. (1 RP= 0.25). Effective cashback rate: 3.75%. 
"
132,Federal Bank MagniFi Credit Card,"https://static.wixstatic.com/media/2a565f_cce93c2d100142c68d7f5e1342e41733~mv2.webp/v1/fill/w_100,h_77,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/magnifi-card.webp","4x rewards on weekends on selected brands i.e. 20 Fi-Coins for every INR 100 spent. Effective cashback rate: 0.6%.
"
133,Skywards ICICI Bank Sapphiro Credit Card,"https://static.wixstatic.com/media/f836e8_7d566772da704be6a1064e495538f2e8~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/emirates%20skywards%20icici%20bank%20sapphiro%20credit%20card.webp","Welcome Benefits: Users will get 5,000 Skywards Miles and Emirates Skywards Silver Tier membership as joining and annual benefits; These Skyward Miles can be used for the purposes of booking Emirates tickets. Value of 1 Skyward Mile is not fixed."
134,Axis Horizon Mastercard Credit Card,,"Reward system:  Cardholder shall earn 5 EDGE Miles on every INR 100 spent on Axis Bank Travel Edge website and on airline spends and 2 EDGE Miles for every INR 100 spent on other spends; The value of 1 EDGE Mile is not fixed, but can be redeemed for booking hotel, flight, etc"
135,AU Bank Zenith+ Credit Card,"https://static.wixstatic.com/media/2a565f_5b66b20d52a44563bf328ea712bc60a0~mv2.webp/v1/fill/w_75,h_47,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/AU-Zenith-Credit-Card.webp","Reward System: Users will earn 2 reward points for every INR 100 spent on travel, dining, and international spending; Effective cashback rate: 2% (on travel, dining, and international spending), and 1% for other spending"
136,KVB Platinum Credit Card,"https://static.wixstatic.com/media/2a565f_d2771444229641ebb72d1b9a50cfee3c~mv2.webp/v1/fill/w_125,h_79,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/KVB-Platinum-credit-card.webp","2x rewards on domestic and international travels, hotels and air tickets, an effective cashback rate: 0.66%.
"
138,IndusInd Pinnacle Credit Card,https://www.myrupaya.in/credit-card-products/indusind-pinnacle-credit-card-,"Users will get 1.5 points on travel and airline transactions. Travel and airline transaction cashback rate: 1.125%. 
"
141,Axis Bank SpiceJet Voyage Black Credit Card,"https://static.wixstatic.com/media/f836e8_a11be3b737a44ae2bbe1d1ef76cd09af~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Axis%20Bank%20Voyage%20Black.webp","Users will get 12  SpiceClub points for every INR 100 spent on the Spice Jet app. Effective travel cashback rate:  12%.
"
143,Axis Bank Atlas Credit Card,"https://static.wixstatic.com/media/f836e8_7e5fd6d013374b4ba126129167572fb9~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Axis%20Bank%20Atlas%20Credit%20Card.webp",Users will get 5 EDGE Miles per INR 100 spend on travel; Effective travel cashback rate: 5%.
144,PREMIER Credit card,,"Users will earn 5X rewards i.e. 10 reward points for every Rs. 100 spent on Travel, Dining and Abroad (International spending). Effective cashback rate = 2.5%. 
"
146,KrisFlyer SBI Card,https://cardinsider.com/wp-content/uploads/2024/09/SBI-KRISFLYER-Co-Branded-Credit-Cards.webp,"Reward system:  Users will earn 5 KrisFlyer miles per Rs 200 spent on Singapore airlines group, 5 KrisFlyer miles per Rs 200 on international spends, and 2 KrisFlyer miles per Rs 200 on other eligible spends; These miles can not be exchanged against cash or credit rather they can be redeemed while booking tickets at the Singapore airline app."
148,Etihad Guest SBI Card,"https://static.wixstatic.com/media/f836e8_cbddfcd6aee84bce81d47e3b3d78b770~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/Etihad%20SBI%20Guest%20Card.webp",Users will get 3 Etihad guest miles on every INR 100 spent on Etihad ; Upto 10% off (3% on Economy Class and 10% on Business class) discount on direct Etihad Airways booking.
152,RBL Bank World Safari Credit Card,"https://static.wixstatic.com/media/f836e8_01deb1a92b18461fbacf29f472ac15ec~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/RBL%20Bank%20World%20Safari%20CC.webp","5 Travel points for every Rs. 100 spent on Travel spends.Travel cashback rate is 1.25%.
"
153,Axis Bank My Wings Credit Card,"https://static.wixstatic.com/media/f836e8_34c34d2b68c04806918bfa4257a6e173~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Swigggy%20CC.webp","Up to 20% cashback on bare fare domestic flight bookings (Capped at INR 2,000 per year); Maximum cashback of INR 500 per air ticket"
